Name,Inspiration count,Inspirations,Notes,Story scale,Traversal types
Maintenance,1,The Strongest Florist (Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.csv),,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,"https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d"
Finding work,2,"The Witcher (Inspirations/The%20Witcher%20d52418cdc33d47ba8c64bc60adabd302.csv), Supernatural (Inspirations/Supernatural%20996146bcd7f043f0a2f91fe83c4321c0.csv)",,"https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc","https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e"
Ad-hoc,12,"Ash vs. the Evil Dead (Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.csv), Doom Patrol (2016) (Inspirations/Doom%20Patrol%20(2016)%20513936adfeba4a2bad778646bcea5cce.csv), Inspiration - Marloth: A Child’s Fairytale World (Inspirations/Inspiration%20-%20Marloth%20A%20Child%E2%80%99s%20Fairytale%20World%20e35f7fa9c25342108c8c2233027b5bd2.csv), Tenkuu Shinpan (Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.csv), Big Trouble in Little China (Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.csv), Unforgiving - A Northern Hymn (Inspirations/Unforgiving%20-%20A%20Northern%20Hymn%2096547461fbf64fbfb5f3a64d86e132c0.csv), Pride and Prejudice (Inspirations/Pride%20and%20Prejudice%2013758e628ba2807798bbc04ae550da36.csv), Surviving Romance (Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.csv), River City Girls (Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.csv), Jeeves and Wooster (Inspirations/Jeeves%20and%20Wooster%2018658e628ba280b781bfcabd1d05cd5d.csv), Untitled (https://www.notion.so/0a76666792964c1bad46a2e5656ab62e?pvs=21), The Matrix (Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.csv), Aliens (Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.csv)",Usually full story.  It is hard to maintain ad-hoc traversal indefinitely.  Extended stories need more of a template so the author isn’t continually re-inventing the wheel.,"https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34","https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d, https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d"
Quest,10,"Dark Souls (Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.csv), Alice: Madness Returns (Inspirations/Alice%20Madness%20Returns%2008742474377d477e94a76e32db60a661.csv), Blasphemous (Inspirations/Blasphemous%20d3bf4fbc9886450ba5a4709f61bf2920.csv), Neverwinter Nights (Inspirations/Neverwinter%20Nights%20b1de5c0c474b4a9f96d7b652dcd30ece.csv), Tenkuu Shinpan (Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.csv), Berserk (Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.csv), Inspiration - Marloth: A Child’s Fairytale World (Inspirations/Inspiration%20-%20Marloth%20A%20Child%E2%80%99s%20Fairytale%20World%20e35f7fa9c25342108c8c2233027b5bd2.csv), The Wheel of Time (Inspirations/The%20Wheel%20of%20Time%205f8c9f03a30b4aa4bbc33d70558079a1.csv), American McGee’s Alice (Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.csv), Labyrinth (Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.csv)",Usually full story.  A single quest is stretched thin across an extended story.,"https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34","https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d, https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d, https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e"
Youthful free spirit,3,"Alice in Wonderland (Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.csv), Paprika Opening (Inspirations/Paprika%20Opening%20ef876f9318794798b9f08c669615c3dd.csv), Through the Looking Glass (Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.csv)",,"https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/23fb1de9231040839d01375c9a0b5619,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34","https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e"
Unraveling mystery,4,"Dark City (Inspirations/Dark%20City%205a033978a93e45789ab3944344d619a3.csv), Alan Wake (Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.csv), In the Mouth of Madness (Inspirations/In%20the%20Mouth%20of%20Madness%203a3a45e2b9d4455e94e3101a5eafa8ae.csv), Silent Hill (Inspirations/Silent%20Hill%202a458e628ba28059b174ede173d12c5f.csv)",,"https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34","https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e"
Missions,9,"Gantz (Inspirations/Gantz%20a24f02cf50174af3a4c065855e47ba14.csv), Mordheim (Inspirations/Mordheim%20e6b55f683b5849d8a23bbbf0b219411b.csv), RWBY (Inspirations/RWBY%201a3cf03caeec4152824ae3c83bf8d476.csv), Sapphire and Steel (Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.csv), The Darkest Dungeon (Inspirations/The%20Darkest%20Dungeon%20df3ac67f75374c4aa1634a7575916828.csv), The Strongest Florist (Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.csv), Naruto (Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.csv), Guardians of the Galaxy (2008) (Inspirations/Guardians%20of%20the%20Galaxy%20(2008)%206266105a80734554b40460f4ba6400d8.csv), Yuuyami Doori Tankentai (Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.csv)",Usually extended story.  Mission-based story-telling scales well over long periods.,"https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/86324f5585d84ca0a6a36deafd6b91fc,https://www.notion.so/faaea9bcaf0f43b5ae79dfa06b96be34","https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/49dd89633f684d91a8d2ed2cd9bdf09e,https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d,https://www.notion.so/19344185392b46c7bd17f5017474cc1d, https://www.notion.so/1c6d9213c2aa449390613c20f6f4d71d"
