Name,Inspirations
Stationary,"Angel (Inspirations/Angel%20e78051e24c8d47aaaa8b5d0bf7bf8d93.csv), Batman (1989) (Inspirations/Batman%20(1989)%20136bf2ccc849460a914cad03bb8dc541.csv), Buffy the Vampire Slayer (Inspirations/Buffy%20the%20Vampire%20Slayer%20422117fdf7ea42638ab43a679e512d1b.csv), Dark City (Inspirations/Dark%20City%205a033978a93e45789ab3944344d619a3.csv), Discworld series (Inspirations/Discworld%20series%20541909be433a442f8c7ed51c3ce5f0fc.csv), Foyle's War (Inspirations/Foyle's%20War%209698e35a1cd140969f69eae29d7c3251.csv), H. P. Lovecraft (Inspirations/H%20P%20Lovecraft%208b960aeb87da4d2c816e0219335869e4.csv), Jane Austen (Inspirations/Jane%20Austen%203e41441f25d94ebab2ee737d9815f33c.csv), Jonathan Strange & Mr. Norrell (Inspirations/Jonathan%20Strange%20&%20Mr%20Norrell%20ed711545bad14b739e7b27fb6ad5c1a3.csv), Justice League America (International) (Inspirations/Justice%20League%20America%20(International)%207371ab44a1864032bae75dc0cd3da4ee.csv), Mieruko-chan (Inspirations/Mieruko-chan%205c8abc58917a455381362cb19b9aed0b.csv), Naruto (Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.csv), North and South (Inspirations/North%20and%20South%20df777bdbbbdc49129d0231be983b6397.csv), RWBY (Inspirations/RWBY%201a3cf03caeec4152824ae3c83bf8d476.csv), Sapphire and Steel (Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.csv), Ash vs. the Evil Dead (Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.csv), Spider-Man (Renew Your Vows) (Inspirations/Spider-Man%20(Renew%20Your%20Vows)%20939509d82a034b0b979e4eb1dbb1d794.csv), Stranger Things (Inspirations/Stranger%20Things%20d4c962a2859a4f14b6acfc4260514175.csv), The Bible (Inspirations/The%20Bible%2091163a390e974e0d9a3db1b7b2876d30.csv), Cursed Princess Club (Inspirations/Cursed%20Princess%20Club%20bfb85a9b7ea74bc8a8d385d6519d1bcc.csv), The Darkest Dungeon (Inspirations/The%20Darkest%20Dungeon%20df3ac67f75374c4aa1634a7575916828.csv), The Evil Dead 2 (Inspirations/The%20Evil%20Dead%202%2093629e42ee3a488c821794ec47db5374.csv), The Office (Inspirations/The%20Office%20ff3a2fef6cac42b199eb43c00fa8849f.csv), The Strongest Florist (Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.csv), The Walking Dead (Inspirations/The%20Walking%20Dead%201d28d505f48f437d8501aa594f07c6cb.csv), Watchmen (Inspirations/Watchmen%200985cb49b57f4b60bc959cfc391e7176.csv), X-Factor Investigations (Inspirations/X-Factor%20Investigations%204496354c9e3f44f1939e87dd7ef8abf9.csv), Inspiration - Marloth: A Child’s Fairytale World (Inspirations/Inspiration%20-%20Marloth%20A%20Child%E2%80%99s%20Fairytale%20World%20e35f7fa9c25342108c8c2233027b5bd2.csv), Batman Returns (Inspirations/Batman%20Returns%20bb12768ac7c14b5ab55779aa3729e99c.csv), Les Misérables (1998) (Inspirations/Les%20Mis%C3%A9rables%20(1998)%2030eba33ec4bb436180ac254bb05ecb1b.csv), Surviving Romance (Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.csv), Dilbert (Inspirations/Dilbert%2015158e628ba280598922f8c0b88837c1.csv), The Great Muppet Caper (Inspirations/The%20Great%20Muppet%20Caper%2015058e628ba280528132f64f29593742.csv), Yuuyami Doori Tankentai (Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.csv)"
Journey,"Alice in Wonderland (Inspirations/Alice%20in%20Wonderland%20ca98e0e27dff4b77adff51cfedaca5ce.csv), Alice: Madness Returns (Inspirations/Alice%20Madness%20Returns%2008742474377d477e94a76e32db60a661.csv), Ash vs. the Evil Dead (Inspirations/Ash%20vs%20the%20Evil%20Dead%206c3ea4b72e4e4e6e8f3474bbab490186.csv), Doom Patrol (2016) (Inspirations/Doom%20Patrol%20(2016)%20513936adfeba4a2bad778646bcea5cce.csv), Gantz (Inspirations/Gantz%20a24f02cf50174af3a4c065855e47ba14.csv), In the Mouth of Madness (Inspirations/In%20the%20Mouth%20of%20Madness%203a3a45e2b9d4455e94e3101a5eafa8ae.csv), Paprika Opening (Inspirations/Paprika%20Opening%20ef876f9318794798b9f08c669615c3dd.csv), Sapphire and Steel (Inspirations/Sapphire%20and%20Steel%20f4522f813fe047fe9cc7daef159bed6d.csv), Supernatural (Inspirations/Supernatural%20996146bcd7f043f0a2f91fe83c4321c0.csv), Tenkuu Shinpan (Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.csv), Dark City (Inspirations/Dark%20City%205a033978a93e45789ab3944344d619a3.csv), Mordheim (Inspirations/Mordheim%20e6b55f683b5849d8a23bbbf0b219411b.csv), Inspiration - Marloth: A Child’s Fairytale World (Inspirations/Inspiration%20-%20Marloth%20A%20Child%E2%80%99s%20Fairytale%20World%20e35f7fa9c25342108c8c2233027b5bd2.csv), The Wheel of Time (Inspirations/The%20Wheel%20of%20Time%205f8c9f03a30b4aa4bbc33d70558079a1.csv), American McGee’s Alice (Inspirations/American%20McGee%E2%80%99s%20Alice%202392ae8e06574413acc3590f1f416e24.csv), Unforgiving - A Northern Hymn (Inspirations/Unforgiving%20-%20A%20Northern%20Hymn%2096547461fbf64fbfb5f3a64d86e132c0.csv), Pride and Prejudice (Inspirations/Pride%20and%20Prejudice%2013758e628ba2807798bbc04ae550da36.csv), Labyrinth (Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.csv), Through the Looking Glass (Inspirations/Through%20the%20Looking%20Glass%201d458e628ba280709ae1d7e3d15c2624.csv)"
Roaming,"Alan Wake (Inspirations/Alan%20Wake%200e04bd5170f74a378ff7c68afe4843e3.csv), Blasphemous (Inspirations/Blasphemous%20d3bf4fbc9886450ba5a4709f61bf2920.csv), Dark Souls (Inspirations/Dark%20Souls%204126541b1c124056b5dff756778cdba2.csv), RWBY (Inspirations/RWBY%201a3cf03caeec4152824ae3c83bf8d476.csv), Neverwinter Nights (Inspirations/Neverwinter%20Nights%20b1de5c0c474b4a9f96d7b652dcd30ece.csv), Naruto (Inspirations/Naruto%20975a9a910773440b828e89f035a08d72.csv), Tenkuu Shinpan (Inspirations/Tenkuu%20Shinpan%20748ff563f82047c68c5bc3e6c8842598.csv), The Darkest Dungeon (Inspirations/The%20Darkest%20Dungeon%20df3ac67f75374c4aa1634a7575916828.csv), The Strongest Florist (Inspirations/The%20Strongest%20Florist%20b011de8d80e249d49813f6c923397117.csv), The Witcher (Inspirations/The%20Witcher%20d52418cdc33d47ba8c64bc60adabd302.csv), Berserk (Inspirations/Berserk%20377a5e04430a4874a6db4ee356807932.csv), Big Trouble in Little China (Inspirations/Big%20Trouble%20in%20Little%20China%200a1639ebedd74085b350e568bfab2e71.csv), Guardians of the Galaxy (2008) (Inspirations/Guardians%20of%20the%20Galaxy%20(2008)%206266105a80734554b40460f4ba6400d8.csv), Labyrinth (Inspirations/Labyrinth%201d458e628ba280ba8976f66237b73d67.csv), Surviving Romance (Inspirations/Surviving%20Romance%2022858e628ba280fba349c779daae8c37.csv), River City Girls (Inspirations/River%20City%20Girls%2022a58e628ba280688bb9eae58590609a.csv), Jeeves and Wooster (Inspirations/Jeeves%20and%20Wooster%2018658e628ba280b781bfcabd1d05cd5d.csv), Untitled (https://www.notion.so/0a76666792964c1bad46a2e5656ab62e?pvs=21), The Matrix (Inspirations/The%20Matrix%2023058e628ba280c887e8f1e85aa43171.csv), Aliens (Inspirations/Aliens%2028c58e628ba2801a919ce41fb9a52aaa.csv), Yuuyami Doori Tankentai (Inspirations/Yuuyami%20Doori%20Tankentai%202cf58e628ba280a5ae34c8d766cd2229.csv), Unholy Blood (Inspirations/Unholy%20Blood%2028458e628ba2802fb201d00c0bb8bcb9.csv)"
